iter	Passed	Remaining
0	58	58179
1	58	29430
2	59	19803
3	60	14972
4	60	12075
5	61	10142
6	61	8769
7	62	7734
8	62	6929
9	63	6286
10	63	5747
11	64	5312
12	65	4946
13	65	4648
14	66	4378
15	67	4140
16	67	3922
17	68	3722
18	68	3548
19	69	3391
20	69	3249
21	70	3121
22	70	3001
23	71	2895
24	71	2796
25	72	2704
26	72	2618
27	73	2537
28	73	2463
29	74	2393
30	74	2326
31	74	2262
32	75	2207
33	75	2159
34	76	2112
35	77	2067
36	78	2032
37	78	1993
38	79	1953
39	79	1915
40	80	1876
41	80	1839
42	81	1807
43	81	1775
44	82	1741
45	82	1711
46	82	1682
47	83	1654
48	83	1628
49	84	1604
50	84	1579
51	85	1556
52	85	1534
53	86	1511
54	86	1490
55	87	1469
56	87	1449
57	88	1431
58	88	1412
59	89	1395
60	89	1381
61	90	1365
62	90	1349
63	91	1334
64	91	1320
65	92	1306
66	92	1293
67	93	1283
68	94	1272
69	94	1260
70	95	1247
71	95	1234
72	96	1222
73	96	1213
74	97	1201
75	97	1190
76	98	1179
77	98	1167
78	99	1156
79	99	1145
80	100	1135
81	100	1124
82	100	1114
83	101	1105
84	102	1099
85	102	1090
86	103	1084
87	104	1078
88	104	1073
89	105	1066
90	106	1059
91	106	1050
92	106	1042
93	107	1034
94	107	1028
95	108	1020
96	108	1013
97	109	1007
98	109	999
99	110	992
100	110	986
101	111	980
102	111	971
103	112	964
104	112	958
105	112	952
106	113	946
107	113	940
108	114	935
109	114	928
110	115	923
111	116	919
112	116	914
113	116	909
114	117	904
115	118	899
116	118	895
117	119	892
118	120	888
119	120	883
120	121	879
121	121	874
122	121	869
123	122	864
124	122	860
125	123	855
126	123	850
127	124	845
128	124	841
129	125	837
130	125	832
131	125	828
132	126	823
133	126	819
134	127	815
135	127	811
136	128	807
137	128	804
138	129	801
139	130	798
140	130	795
141	131	792
142	131	789
143	132	786
144	133	784
145	133	782
146	134	779
147	134	776
148	135	773
149	135	770
150	136	766
151	137	764
152	137	761
153	138	758
154	138	755
155	138	751
156	139	748
157	139	745
158	140	742
159	140	739
160	141	736
161	141	733
162	142	731
163	142	728
164	143	726
