iter	Passed	Remaining
0	50	50624
1	51	25933
2	52	17602
3	53	13421
4	54	10895
5	55	9188
6	56	7994
7	57	7107
8	58	6419
9	59	5910
10	60	5429
11	61	5049
12	62	4715
13	62	4436
14	63	4188
15	64	3957
16	65	3761
17	66	3636
18	69	3568
19	69	3427
20	70	3296
21	71	3184
22	72	3083
23	74	3032
24	75	2948
25	76	2868
26	77	2793
27	78	2735
28	79	2664
29	80	2613
30	81	2548
31	82	2507
32	83	2458
33	84	2409
34	85	2357
35	86	2311
36	86	2263
37	87	2218
38	88	2177
39	89	2145
40	90	2125
41	92	2106
42	93	2074
43	94	2045
44	94	2009
45	95	1980
46	96	1952
47	97	1924
48	98	1907
49	101	1923
50	101	1897
51	102	1870
52	103	1848
53	104	1823
54	104	1800
55	105	1777
56	106	1755
57	106	1737
58	107	1721
59	109	1709
60	110	1694
61	110	1676
62	112	1667
63	112	1649
64	114	1648
65	115	1636
66	116	1622
67	117	1610
68	118	1593
69	118	1578
70	119	1561
71	120	1549
72	120	1535
73	121	1524
74	122	1515
75	123	1502
76	127	1525
77	128	1521
78	130	1518
79	131	1512
80	132	1503
81	133	1494
82	134	1485
83	135	1477
84	140	1514
85	141	1506
86	143	1506
87	145	1507
88	146	1498
89	158	1605
90	159	1594
91	160	1583
92	161	1573
93	163	1577
94	164	1567
95	165	1557
96	166	1551
97	167	1541
98	168	1531
99	169	1522
100	169	1512
101	170	1504
102	171	1492
103	172	1485
104	173	1477
105	174	1469
106	175	1461
107	175	1451
108	176	1443
109	177	1432
110	178	1425
111	178	1418
112	179	1410
113	180	1403
114	181	1396
115	182	1391
116	183	1386
117	184	1379
118	185	1375
119	186	1369
120	187	1362
121	188	1355
122	189	1347
123	189	1338
124	190	1333
125	191	1328
126	192	1325
127	193	1319
128	194	1314
129	195	1307
130	196	1303
131	197	1296
132	197	1290
133	198	1285
134	202	1299
135	203	1295
136	204	1289
137	206	1287
138	207	1282
139	209	1289
140	211	1290
141	212	1286
142	213	1282
143	214	1276
144	215	1271
145	216	1266
146	217	1261
147	218	1257
148	219	1255
149	221	1254
150	222	1249
151	223	1244
152	223	1239
153	224	1235
154	225	1230
155	226	1226
156	227	1221
157	228	1220
158	230	1219
159	231	1216
160	232	1212
161	233	1207
162	237	1218
163	238	1217
164	239	1212
165	240	1208
166	241	1204
167	242	1201
168	243	1198
169	244	1195
170	245	1192
171	246	1187
172	247	1183
173	248	1180
174	249	1178
175	251	1175
176	252	1174
177	253	1170
178	254	1166
179	255	1163
180	256	1159
181	257	1156
182	258	1153
183	260	1153
184	261	1150
185	262	1147
186	262	1143
187	263	1139
188	264	1135
189	265	1132
190	266	1128
191	267	1125
192	268	1122
193	269	1118
194	269	1114
195	270	1110
196	271	1106
197	272	1103
198	273	1100
199	274	1096
200	275	1093
201	276	1090
202	276	1086
203	277	1083
204	278	1079
205	279	1075
206	279	1072
207	280	1068
208	281	1067
209	282	1064
210	283	1061
211	284	1058
212	285	1054
213	286	1051
214	287	1048
215	287	1044
216	288	1041
217	289	1037
218	290	1036
219	291	1034
220	292	1030
221	292	1025
222	293	1022
223	294	1019
224	294	1016
225	295	1012
226	296	1009
227	297	1006
228	297	1002
229	298	999
230	299	996
231	300	993
232	300	990
233	301	986
234	302	983
235	303	980
236	304	980
237	305	978
238	306	975
239	307	972
240	307	969
241	308	966
242	309	963
243	309	960
244	310	956
245	311	953
246	312	954
247	313	951
248	314	948
249	315	946
250	315	942
251	316	940
252	317	937
253	318	934
254	318	931
255	320	930
256	321	929
257	323	929
258	323	926
259	324	923
260	325	920
261	326	918
262	327	916
263	328	915
264	329	912
265	329	910
266	330	907
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	335	889
274	336	886
275	337	884
276	337	882
277	338	879
278	339	876
279	339	873
280	340	871
281	340	868
282	341	865
283	342	864
284	343	862
285	344	859
286	344	856
287	345	854
288	346	851
289	347	849
290	347	847
291	348	844
292	348	841
293	349	839
294	350	837
295	351	835
296	351	833
297	352	830
298	353	828
299	354	826
300	354	824
301	355	821
302	356	819
303	357	817
304	357	815
305	358	812
306	359	810
307	359	808
308	360	805
309	360	803
310	361	801
311	362	798
312	362	796
313	364	796
314	365	794
315	366	792
316	366	790
317	367	787
318	367	784
319	368	782
320	368	780
321	369	778
322	370	776
323	371	775
324	372	773
325	373	772
326	374	770
327	374	767
328	375	765
329	376	763
330	376	761
331	377	759
332	377	756
333	378	755
334	379	752
335	379	750
336	380	748
337	381	746
338	381	744
339	382	742
340	382	740
341	383	737
342	384	735
343	385	734
344	386	732
345	386	730
346	387	729
347	388	727
348	388	725
349	389	723
350	390	721
351	390	719
352	391	717
353	392	716
354	393	715
355	394	713
356	395	712
357	396	710
358	396	708
359	397	706
360	397	704
361	398	702
362	400	701
363	400	700
364	401	698
365	402	696
366	402	695
367	403	693
368	404	691
369	404	689
370	405	687
371	406	685
372	407	684
373	407	682
374	408	680
375	409	679
376	410	677
377	410	676
378	411	674
379	412	672
380	412	670
381	413	669
382	415	668
383	415	666
384	416	665
385	417	663
386	417	661
387	418	660
388	419	658
389	419	656
390	420	654
391	421	654
392	422	652
393	423	650
394	423	649
395	424	647
396	425	646
397	426	644
398	426	642
399	427	640
400	428	639
401	429	638
402	429	636
403	430	635
404	431	633
405	432	632
406	432	630
407	433	628
408	433	627
409	434	625
410	435	623
411	436	622
412	437	622
413	438	620
414	439	619
415	439	617
416	440	616
417	441	614
418	442	613
419	443	612
420	444	611
421	445	610
422	446	608
423	446	607
424	447	605
425	448	604
426	449	603
427	449	601
428	450	599
429	451	598
430	452	597
431	453	595
432	453	594
433	454	592
434	455	591
435	456	590
436	458	590
437	459	589
438	460	588
439	461	586
440	461	585
441	462	584
442	463	582
443	464	581
444	464	579
445	466	579
446	467	578
447	468	576
448	469	575
449	469	574
450	470	573
451	471	571
452	472	570
453	473	569
454	474	568
455	475	567
456	476	565
457	476	564
458	477	562
459	478	561
460	479	560
461	480	559
462	481	558
463	482	557
464	483	556
465	485	556
466	486	554
467	487	553
468	488	553
469	498	562
470	499	560
471	500	559
472	501	558
473	502	557
474	503	556
475	504	555
476	505	553
477	506	552
478	507	551
479	508	550
480	509	549
481	509	547
482	510	546
483	511	545
484	512	544
485	513	542
486	513	541
487	514	539
488	515	539
489	516	537
490	517	536
491	518	535
492	519	534
493	520	532
494	520	531
495	521	529
496	522	528
497	523	527
498	523	525
499	524	524
500	525	523
501	526	522
502	526	520
503	527	519
504	528	517
505	529	516
506	529	515
507	530	514
508	531	512
509	532	511
510	533	510
511	533	508
512	534	507
513	535	506
514	536	505
515	536	503
516	537	502
517	538	501
518	539	499
519	540	498
520	540	497
521	541	495
522	542	494
523	543	493
524	544	492
525	544	491
526	545	489
527	546	488
528	547	487
529	548	486
530	548	484
531	549	483
532	550	482
533	551	480
534	551	479
535	555	480
536	555	479
537	556	478
538	557	476
539	558	475
540	558	474
541	559	472
542	560	471
543	561	470
544	562	469
545	563	468
546	564	467
547	564	465
548	565	464
549	566	463
550	567	462
551	567	460
552	568	459
553	569	458
554	570	457
555	571	456
556	572	455
557	572	453
558	573	452
559	574	451
560	574	449
561	575	448
562	576	447
563	577	446
564	578	445
565	579	444
566	579	442
567	580	441
568	580	440
569	581	438
570	582	437
571	583	436
572	584	435
573	585	434
574	585	433
575	586	431
576	587	430
577	588	429
578	588	428
579	589	426
580	590	425
581	591	424
582	592	423
583	593	422
584	593	421
585	594	420
586	595	418
587	596	417
588	597	416
589	597	415
590	598	414
591	599	413
592	600	412
593	601	411
594	602	409
595	603	408
596	604	407
597	604	406
598	605	405
599	606	404
600	607	403
601	608	401
602	608	400
603	609	399
604	610	398
605	610	397
606	611	396
607	612	394
608	612	393
609	614	392
610	615	391
611	615	390
612	616	389
613	617	388
614	617	386
615	618	385
616	619	384
617	619	383
618	620	381
619	622	381
620	622	380
621	623	378
622	624	377
623	624	376
624	625	375
625	626	374
626	627	373
627	627	371
628	628	370
629	629	369
630	630	368
631	630	367
632	631	366
633	632	364
634	633	363
635	633	362
636	634	361
637	635	360
638	636	359
639	637	358
640	637	357
641	638	356
642	639	354
643	640	353
644	640	352
645	641	351
646	642	350
647	642	349
648	643	348
649	644	346
650	645	345
651	645	344
652	646	343
653	647	342
654	648	341
655	648	340
656	649	339
657	650	338
658	651	337
659	652	336
660	653	335
661	653	333
662	654	332
663	655	331
664	655	330
665	656	329
666	657	328
667	659	327
668	660	326
669	661	325
670	661	324
671	662	323
672	663	322
673	663	321
674	664	319
675	665	318
676	666	317
677	667	317
678	668	315
679	668	314
680	669	313
681	670	312
682	670	311
683	671	310
684	672	309
685	672	308
686	673	306
687	674	305
688	674	304
689	675	303
690	676	302
